id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51436031,Rental unit in Munich · ★4.91 · 1 bedroom · 1 bed · 1 bath,6467185,Natascha,,Maxvorstadt,48.15381,11.5668,Entire home/apt,100,2,11,2023-06-01,0.49,1,0,6,
51441593,Bed and breakfast in Munich · ★5.0 · 1 bedroom · 1 bed · 1 private bath,25738453,Elisabeth,,Tudering-Riem,48.14209,11.67276,Private room,90,1,3,2023-06-14,0.37,1,12,3,
51444707,Rental unit in Munich · ★5.0 · 1 bedroom · 3 beds · 1 bath,53294097,Alina,,Altstadt-Lehel,48.13277,11.5703,Entire home/apt,160,2,11,2023-03-19,0.55,1,0,3,
51452413,Rental unit in Munich · ★4.95 · 1 bedroom · 2 beds · 1 bath,378964198,David,,Bogenhausen,48.13923,11.61931,Entire home/apt,213,1,21,2023-06-12,2.03,2,125,21,
51462393,Rental unit in Munich · Studio · 1 bed · 1 bath,18667985,Christopher,,Au-Haidhausen,48.12248,11.58935,Entire home/apt,95,5,2,2022-09-09,0.19,1,1,2,
51476578,Condo in Munich · 1 bedroom · 2 beds · 1 bath,163311374,Sheyla,,Milbertshofen-Am Hart,48.18334,11.56409,Entire home/apt,80,3,0,,,1,0,0,
51478882,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,89215605,Ahmed,,Obergiesing,48.11009,11.58331,Entire home/apt,300,3,1,2022-08-21,0.10,1,0,1,
51495637,Condo in Munich · 1 bedroom · 1 bath,385056278,Marc,,Neuhausen-Nymphenburg,48.15019,11.54022,Entire home/apt,70,100,0,,,1,64,0,
51497343,Rental unit in Munich · ★4.86 · 3 bedrooms · 5 beds · 2.5 baths,4896121,Moses,,Ludwigsvorstadt-Isarvorstadt,48.13815,11.56357,Entire home/apt,578,3,7,2023-01-02,0.34,2,176,5,
51497619,Rental unit in Munich · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,412851102,Jana,,Sendling,48.12225,11.55097,Private room,70,1,11,2023-06-16,1.17,1,82,11,
51500482,Rental unit in Munich · ★5.0 · 2 bedrooms · 2 beds · 1 bath,344022561,Stella,,Schwabing-West,48.16448,11.55787,Entire home/apt,79,2,10,2023-05-29,0.94,1,1,10,
51511955,Condo in Munich · ★5.0 · 1 bedroom · 2 beds · 1 bath,218374728,Theodor,,Maxvorstadt,48.15099,11.57345,Entire home/apt,100,2,5,2022-10-06,0.22,1,0,1,
51512908,Rental unit in Munich · 2 bedrooms · 2 beds · 1.5 baths,29779305,Robert,,Sendling-Westpark,48.12082,11.50379,Entire home/apt,100,5,1,2021-08-21,0.04,1,0,0,
51516850,Condo in Munich · Studio · 1 bed · 1 bath,129897859,Sophie,,Bogenhausen,48.15412,11.60439,Entire home/apt,65,2,0,,,2,269,0,
51520867,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,59121180,Leonie,,Maxvorstadt,48.15483,11.56898,Private room,36,5,0,,,1,0,0,
51526713,Rental unit in Munich · ★4.92 · 1 bedroom · 1 bed · 1 bath,10689636,Steph,,Untergiesing-Harlaching,48.11584,11.56789,Entire home/apt,123,3,13,2022-12-10,0.95,2,165,8,
51537221,Rental unit in Munich · ★4.89 · 2 bedrooms · 2 beds · 2 baths,1268145,Susi & Georg,,Ludwigsvorstadt-Isarvorstadt,48.12093,11.55925,Entire home/apt,165,3,9,2023-06-11,0.40,1,50,6,
51553423,Condo in Munich · ★5.0 · 1 bedroom · 1 bed · 1 private bath,24936234,Robert,,Maxvorstadt,48.14769,11.55016,Private room,86,2,17,2023-06-23,1.81,1,44,17,
51567793,Bed and breakfast in Munich · 1 bedroom · 1 bed · 1 shared bath,78220559,Eric,,Moosach,48.1815,11.50058,Private room,32,1,1,2021-09-15,0.05,1,187,0,
51573523,Rental unit in Munich · ★4.52 · 1 bedroom · 1 bed · 1.5 shared baths,398542904,Yan,,Milbertshofen-Am Hart,48.18144,11.55287,Shared room,58,1,75,2023-06-21,3.29,1,48,42,
